
-- INSERTS TABLA cliente
INSERT INTO cliente(nombre, genero, direccion, telefono, fechaNac) VALUES
('Carmen Ruiz Ortega', 0, 'Calle San Vicente 23, Valencia', '611334455', '1988-09-30'),
('Antonio Lopez Gonzalez', 1, 'Avenida de la Constitución 14, Sevilla', '622556677', '1979-02-18'),
('Laura Fernandez Martin', 0, 'Calle Mayor 6, Zaragoza', '633778899', '1986-12-12'),
('Josefa Morales Alvarez', 0, 'Calle Serrano 19, Madrid', '644112233', '1995-11-11'),
('Miguel Rodriguez Jimenez', 1, 'Avenida de América 2, Madrid', '655445566', '1983-07-21'),
('Lucia Garcia Castillo', 0, 'Paseo de la Castellana 10, Madrid', '611556677', '1990-04-14'),
('Francisco Sanchez Gil', 1, 'Calle de Alcalá 100, Madrid', '622778899', '1981-03-03'),
('Pilar Vargas Ruiz', 0, 'Calle Gran Capitán 3, Granada', '633112233', '1993-09-19'),
('Alberto Martin Diaz', 1, 'Avenida de los Pinos 17, Murcia', '644334455', '1987-08-05'),
('Sofia Lopez Torres', 0, 'Plaza del Pilar 1, Zaragoza', '655667788', '1994-01-01'),
('Enrique Gomez Martinez', 1, 'Calle Velázquez 5, Madrid', '611778899', '1985-05-05'),
('Raquel Diaz Romero', 0, 'Calle Laraña 12, Sevilla', '622112233', '1991-06-06'),
('Rafael Ortega Hernandez', 1, 'Avenida Blasco Ibáñez 15, Valencia', '633445566', '1982-07-07'),
('Isabel Gil Perez', 0, 'Calle Larios 15, Málaga', '644556677', '1996-02-22'),
('Javier Herrera Ramos', 1, 'Avenida del Cid 32, Valencia', '655778899', '1989-10-10'),
('Natalia Gonzalez Suarez', 0, 'Calle de la Princesa 4, Madrid', '611889900', '1993-11-11'),
('Adrian Alvarez Castro', 1, 'Avenida de Galicia 9, Oviedo', '622334455', '1986-12-12'),
('Marta Castillo Navarro', 0, 'Calle Uría 25, Oviedo', '633556677', '1991-09-09'),
('Sergio Morales Vega', 1, 'Calle Recogidas 22, Granada', '644112233', '1984-08-18'),
('Teresa Marquez Jimenez', 0, 'Calle Toledo 8, Madrid', '655334455', '1995-03-03'),
('Andres Soto Ramirez', 1, 'Calle Alfonso XII 13, Sevilla', '611223344', '1980-04-14'),
